timestamp,dataset,rank1,rank5,rank10,mAP
2025-06-22 13:07:18,1,0.6538,0.7308,0.8077,0.5739
2025-06-22 13:07:41,3,0.5714,0.7143,0.7714,0.4745
2025-06-22 13:08:04,4,0.6364,0.8182,0.8788,0.5463
2025-06-22 13:08:22,5,0.7059,0.7647,0.8824,0.5874
2025-06-22 13:08:44,7,0.6333,0.8667,0.9000,0.5552
2025-06-22 13:09:15,test,0.2466,0.2740,0.2877,0.1364
2025-06-22 13:38:24,1,0.6923,0.8846,0.9231,0.6018
2025-06-22 13:38:47,3,0.6000,0.7714,0.8000,0.5253
2025-06-22 13:39:10,4,0.6970,0.8788,0.9091,0.6283
2025-06-22 13:39:28,5,0.6471,0.8235,0.8235,0.5802
2025-06-22 13:39:49,7,0.7000,0.8333,0.8667,0.6463
2025-06-22 13:40:21,test,0.2192,0.2740,0.2877,0.1327
2025-06-22 14:09:17,1,0.6923,0.8462,0.8846,0.6122
2025-06-22 14:09:41,3,0.6571,0.8286,0.8286,0.5788
2025-06-22 14:10:05,4,0.6364,0.9091,0.9394,0.6415
2025-06-22 14:10:24,5,0.6471,0.8824,1.0000,0.5803
2025-06-22 14:10:46,7,0.7000,0.8667,0.9000,0.6366
2025-06-22 14:11:19,test,0.2192,0.2603,0.2603,0.1271
2025-06-22 14:41:18,1,0.6923,0.9231,0.9231,0.5896
2025-06-22 14:41:40,3,0.6857,0.8000,0.8857,0.5705
2025-06-22 14:42:03,4,0.6364,0.9091,0.9091,0.5923
2025-06-22 14:42:22,5,0.8235,0.9412,1.0000,0.6495
2025-06-22 14:42:43,7,0.7000,0.8000,0.8667,0.6538
2025-06-22 14:43:15,test,0.2192,0.2740,0.2740,0.1319
2025-06-22 15:12:41,1,0.6923,0.8462,0.8846,0.5976
2025-06-22 15:13:04,3,0.7143,0.8286,0.8571,0.6303
2025-06-22 15:13:27,4,0.6970,0.9091,0.9394,0.6669
2025-06-22 15:13:46,5,0.7647,0.9412,1.0000,0.6139
2025-06-22 15:14:07,7,0.8000,0.8333,0.8667,0.7253
2025-06-22 15:14:40,test,0.2329,0.2466,0.2603,0.1360
2025-06-22 15:44:03,1,0.7308,0.8077,0.9615,0.6224
2025-06-22 15:44:26,3,0.7143,0.8000,0.8571,0.5983
2025-06-22 15:44:49,4,0.6970,0.8182,0.9091,0.6426
2025-06-22 15:45:08,5,0.7647,0.9412,1.0000,0.6229
2025-06-22 15:45:29,7,0.7000,0.8667,0.8667,0.6735
2025-06-22 15:46:00,test,0.2192,0.2603,0.2740,0.1357
2025-06-22 16:16:05,1,0.6923,0.8077,0.8462,0.5849
2025-06-22 16:16:28,3,0.7143,0.8000,0.8286,0.6359
2025-06-22 16:16:51,4,0.7576,0.8485,0.9394,0.6780
2025-06-22 16:17:10,5,0.6471,0.9412,1.0000,0.5879
2025-06-22 16:17:31,7,0.7333,0.8000,0.8667,0.6885
2025-06-22 16:18:02,test,0.2329,0.2466,0.2466,0.1346
2025-06-22 16:47:21,1,0.6538,0.9231,0.9615,0.6197
2025-06-22 16:47:44,3,0.6571,0.7714,0.8571,0.6142
2025-06-22 16:48:07,4,0.7273,0.8788,0.9394,0.6807
2025-06-22 16:48:26,5,0.8235,0.8824,0.9412,0.6535
2025-06-22 16:48:47,7,0.7333,0.8333,0.9000,0.7084
2025-06-22 16:49:19,test,0.2192,0.2603,0.2877,0.1355
2025-06-22 17:20:09,1,0.6923,0.8077,0.8846,0.5941
2025-06-22 17:20:32,3,0.7143,0.8000,0.8571,0.6388
2025-06-22 17:20:55,4,0.7576,0.8788,0.9394,0.6853
2025-06-22 17:21:14,5,0.7059,1.0000,1.0000,0.6060
2025-06-22 17:21:36,7,0.7333,0.8333,0.8667,0.6940
2025-06-22 17:22:07,test,0.2329,0.2466,0.2466,0.1304
2025-06-22 17:52:36,1,0.6923,0.8077,0.8462,0.5917
2025-06-22 17:52:59,3,0.7143,0.8000,0.8571,0.6426
2025-06-22 17:53:22,4,0.7576,0.8788,0.9394,0.6870
2025-06-22 17:53:41,5,0.6471,0.9412,1.0000,0.6014
2025-06-22 17:54:02,7,0.7667,0.8333,0.8667,0.7243
2025-06-22 17:54:34,test,0.2329,0.2466,0.2466,0.1330
2025-06-22 18:23:28,1,0.6923,0.8077,0.8077,0.5876
2025-06-22 18:23:51,3,0.6857,0.8000,0.8571,0.6366
2025-06-22 18:24:14,4,0.7576,0.8485,0.9091,0.6844
2025-06-22 18:24:33,5,0.7059,0.8824,0.9412,0.6089
2025-06-22 18:24:54,7,0.7667,0.8333,0.8667,0.7241
2025-06-22 18:25:25,test,0.2329,0.2466,0.2466,0.1336
2025-06-22 18:55:37,1,0.7308,0.8077,0.8462,0.6092
2025-06-22 18:56:00,3,0.6857,0.8000,0.8571,0.6318
2025-06-22 18:56:23,4,0.7576,0.8788,0.9394,0.6906
2025-06-22 18:56:42,5,0.7059,0.9412,0.9412,0.6054
2025-06-22 18:57:03,7,0.7667,0.8333,0.8667,0.7115
2025-06-22 18:57:34,test,0.2192,0.2466,0.2466,0.1315
2025-06-22 19:26:54,1,0.7308,0.9231,0.9615,0.6542
2025-06-22 19:27:17,3,0.6857,0.8000,0.8286,0.6417
2025-06-22 19:27:39,4,0.7273,0.8788,0.8788,0.6610
2025-06-22 19:27:58,5,0.8235,1.0000,1.0000,0.6887
2025-06-22 19:28:19,7,0.7667,0.8667,0.9000,0.7502
2025-06-22 19:28:50,test,0.2192,0.2466,0.2603,0.1357
2025-06-22 19:58:29,1,0.6923,0.8077,0.8846,0.5977
2025-06-22 19:58:52,3,0.7143,0.8000,0.8571,0.6482
2025-06-22 19:59:14,4,0.7576,0.9091,0.9394,0.7010
2025-06-22 19:59:33,5,0.7059,0.9412,0.9412,0.6210
2025-06-22 19:59:54,7,0.7333,0.8333,0.9000,0.6962
2025-06-22 20:00:26,test,0.2329,0.2466,0.2740,0.1356
2025-06-22 20:31:01,1,0.7692,0.9231,0.9615,0.6811
2025-06-22 20:31:25,3,0.6571,0.8000,0.8857,0.6195
2025-06-22 20:31:49,4,0.7273,0.9091,0.9394,0.6740
2025-06-22 20:32:09,5,0.7647,0.9412,1.0000,0.7117
2025-06-22 20:32:31,7,0.7667,0.8667,0.9333,0.7375
2025-06-22 20:33:03,test,0.2329,0.2603,0.2740,0.1393

